sepal_length,sepal_width,petal_length,petal_width,species
6.32,3.45,5.24,1.97,virginica
6.77,2.76,4.89,2.35,virginica
5.41,3.15,4.18,1.1,versicolor
5.19,3.38,2.27,0.18,setosa
6.14,2.23,5.96,2.11,virginica
7.55,2.8,5.62,2.08,virginica
5.38,2.72,4.45,1.29,versicolor
6.16,2.55,4.97,1.64,versicolor
4.92,3.52,1.31,0.21,setosa
5.78,2.14,3.95,0.99,versicolor
6.0,3.25,4.79,1.69,virginica
4.89,3.54,1.36,0.17,setosa
6.65,2.84,5.42,2.05,virginica
4.75,3.63,1.43,0.22,setosa
5.1,2.99,4.06,1.38,versicolor
7.45,2.64,5.28,2.3,virginica
7.27,3.01,5.49,1.76,virginica
6.34,3.08,5.71,2.05,virginica
5.64,2.91,4.2,1.18,versicolor
5.79,2.68,4.35,1.16,versicolor
5.03,3.32,1.51,0.42,setosa
6.54,2.53,3.79,1.38,versicolor
6.28,3.09,6.36,1.79,virginica
6.23,2.92,5.26,1.75,virginica
5.67,2.6,4.49,0.99,versicolor
4.96,2.92,1.6,0.22,setosa
6.28,3.15,5.41,2.35,virginica
6.99,2.9,5.56,2.11,virginica
5.38,2.67,4.29,1.34,versicolor
7.19,3.09,5.72,2.15,virginica
5.11,3.05,1.45,0.17,setosa
5.84,3.16,3.98,1.53,versicolor
4.63,3.54,1.37,0.13,setosa
4.81,3.58,1.41,0.1,setosa
5.71,3.1,5.71,2.09,virginica
5.93,3.03,4.4,1.29,versicolor
5.27,3.45,1.6,0.14,setosa
5.03,3.27,1.46,0.11,setosa
4.84,3.03,1.41,0.1,setosa
5.55,3.5,1.5,0.3,setosa
4.89,3.03,1.67,0.38,setosa
5.03,3.4,1.54,0.29,setosa
6.95,3.53,6.17,1.75,virginica
4.83,3.11,1.31,0.25,setosa
4.9,3.84,1.38,0.22,setosa
4.58,3.15,1.3,0.24,setosa
6.58,3.15,5.33,1.94,virginica
6.43,2.98,5.04,2.08,virginica
5.34,2.78,4.27,1.28,versicolor
6.05,3.66,4.68,2.11,virginica
5.84,2.9,4.62,1.34,versicolor
5.25,2.06,4.19,1.4,versicolor
6.47,2.8,6.18,2.18,virginica
5.29,3.65,1.59,0.12,setosa
6.69,3.22,4.5,2.14,virginica
6.59,2.45,6.43,1.75,virginica
5.09,3.45,1.56,0.34,setosa
4.75,3.46,1.38,0.1,setosa
5.94,2.94,3.81,1.35,versicolor
5.04,4.06,1.72,0.1,setosa
6.0,2.49,5.82,2.4,virginica
5.34,3.6,1.65,0.12,setosa
5.55,3.97,1.6,0.33,setosa
5.19,2.87,4.62,1.52,versicolor
6.58,2.73,4.13,1.49,versicolor
4.79,2.93,1.35,0.2,setosa
5.02,3.82,1.64,0.12,setosa
6.1,3.12,5.59,1.83,virginica
4.71,3.96,1.75,0.2,setosa
5.58,2.66,4.19,1.47,versicolor
5.96,2.81,3.5,0.88,versicolor
5.42,2.31,3.85,1.3,versicolor
5.79,2.81,5.46,2.08,virginica
5.47,2.9,4.58,1.04,versicolor
5.02,2.53,4.79,1.14,versicolor
6.31,2.66,5.42,2.23,virginica
5.52,3.08,1.82,0.1,setosa
4.72,3.33,1.93,0.12,setosa
4.97,3.65,1.83,0.22,setosa
6.95,2.92,5.46,2.14,virginica
6.01,2.7,4.06,1.28,versicolor
5.63,2.9,5.46,1.11,versicolor
4.51,3.63,1.52,0.19,setosa
6.22,2.57,5.02,1.33,versicolor
4.3,4.22,1.42,0.12,setosa
6.07,2.63,5.4,1.29,versicolor
6.49,2.83,4.52,1.23,versicolor
4.99,3.38,1.73,0.35,setosa
4.8,3.49,1.65,0.2,setosa
4.84,2.82,1.61,0.18,setosa
6.66,3.11,4.57,1.08,versicolor
5.6,3.37,3.89,1.51,versicolor
5.13,3.33,1.41,0.21,setosa
6.33,3.42,6.55,2.41,virginica
4.31,3.3,1.54,0.17,setosa
4.65,3.39,1.35,0.27,setosa
6.46,3.14,4.87,1.42,versicolor
5.43,2.74,4.28,1.15,versicolor
6.58,2.84,6.15,1.81,virginica
5.35,3.97,1.21,0.2,setosa
6.35,3.55,5.94,1.98,virginica
4.77,3.17,1.53,0.12,setosa
5.65,3.42,1.54,0.11,setosa
6.0,3.48,4.52,1.42,versicolor
6.37,3.5,4.98,2.61,virginica
7.47,2.47,5.84,1.71,virginica
6.09,3.05,4.15,0.93,versicolor
4.68,3.74,1.4,0.23,setosa
5.42,2.68,3.79,1.03,versicolor
5.1,3.13,1.68,0.1,setosa
5.77,2.78,4.23,1.38,versicolor
7.53,3.07,6.23,1.65,virginica
5.32,3.54,1.47,0.23,setosa
6.22,2.98,6.41,2.4,virginica
6.9,2.63,6.09,2.0,virginica
6.68,2.95,4.35,1.32,versicolor
6.08,2.97,3.09,1.34,versicolor
7.24,2.91,6.0,1.85,virginica
5.8,2.51,3.74,1.44,versicolor
6.73,2.52,6.09,2.15,virginica
5.33,3.19,1.4,0.1,setosa
5.14,2.9,4.15,1.43,versicolor
5.52,2.85,3.75,1.41,versicolor
6.28,2.5,4.98,1.65,versicolor
5.87,2.63,3.72,1.5,versicolor
7.31,3.51,5.74,1.67,virginica
4.54,3.64,1.37,0.24,setosa
6.58,2.26,4.07,1.26,versicolor
6.17,2.65,4.16,1.51,versicolor
7.23,2.98,6.74,1.61,virginica
5.21,2.68,4.33,1.5,versicolor
5.13,2.73,4.43,1.19,versicolor
5.63,2.24,3.11,1.17,versicolor
5.96,2.51,4.63,1.33,versicolor
6.73,2.15,5.36,1.98,virginica
6.12,2.76,5.86,2.07,virginica
5.5,2.68,4.33,1.83,versicolor
6.19,2.87,3.8,1.15,versicolor
7.44,2.36,4.72,1.29,versicolor
5.23,3.3,1.72,0.27,setosa
5.53,3.03,4.36,1.52,versicolor
5.86,3.23,3.62,1.31,versicolor
6.06,3.03,5.09,1.25,versicolor
6.93,2.3,3.94,1.36,versicolor
6.49,2.89,6.32,1.95,virginica
6.72,3.22,6.02,1.38,virginica
6.24,2.81,4.24,1.37,versicolor
4.08,3.48,1.3,0.42,setosa
4.9,3.25,1.64,0.26,setosa
4.82,3.54,1.25,0.15,setosa
7.81,2.5,5.79,2.21,virginica
5.83,2.54,3.74,1.65,versicolor
6.38,2.75,6.78,1.71,virginica
