timestamp,host,provider,channel,event_id,event_name,domain,user,workstation,source_ip,source_port,logon_type,process,status,sub_status,message,is_attack,attack_type,country,city,latitude,longitude
2026-04-25 00:01:03,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,crojas,PC-FIN-001,10.10.99.56,65486,7,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Successful logon for EMPRESA\crojas from 10.10.99.56 using logon type 7,0,none,Internal,LAN,,
2026-04-25 00:02:06,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,dtorres,PC-FIN-001,10.10.193.216,60960,10,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Successful logon for CORP\dtorres from 10.10.193.216 using logon type 10,0,none,Internal,LAN,,
2026-04-25 00:02:16,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,EMPRESA,alopez,PC-RRHH-002,10.10.33.245,56672,3,C:\\Windows\\System32\\svchost.exe,0x0,0x0,Logoff for EMPRESA\alopez from workstation PC-RRHH-002,0,none,Internal,LAN,,
2026-04-25 00:06:52,WIN-SRV-DC01,Microsoft-Windows-Security-Auditing,Security,4648,A logon was attempted using explicit credentials,EMPRESA,svc_backup,LAP-GER-003,172.16.20.146,54026,10,C:\\Windows\\System32\\svchost.exe,0x0,0x0,Explicit credentials used by EMPRESA\svc_backup from LAP-GER-003,0,none,Internal,LAN,,
2026-04-25 00:06:54,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4688,A new process has been created,EMPRESA,finanzas02,LAP-GER-003,192.168.1.136,54949,2,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Process created by EMPRESA\finanzas02: C:\\Windows\\System32\\lsass.exe,0,none,Internal,LAN,,
2026-04-25 00:09:11,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,EMPRESA,mgarcia,PC-OPS-014,10.10.13.93,53698,2,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Successful logon for EMPRESA\mgarcia from 10.10.13.93 using logon type 2,0,none,Internal,LAN,,
2026-04-25 00:10:24,WIN10-FIN-014,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,LOCAL,dtorres,LAP-GER-003,10.10.229.252,52774,3,C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe,0x0,0x0,Successful logon for LOCAL\dtorres from 10.10.229.252 using logon type 3,0,none,Internal,LAN,,
2026-04-25 00:11:26,WIN-SRV-FILE01,Microsoft-Windows-Security-Auditing,Security,4634,An account was logged off,CORP,svc_backup,PC-OPS-014,192.168.1.119,60081,7,C:\\Windows\\System32\\lsass.exe,0x0,0x0,Logoff for CORP\svc_backup from workstation PC-OPS-014,0,none,Internal,LAN,,
2026-04-25 00:11:44,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,dtorres,PC-RRHH-002,10.10.31.232,56603,10,C:\\Windows\\System32\\cmd.exe,0x0,0x0,Successful logon for CORP\dtorres from 10.10.31.232 using logon type 10,0,none,Internal,LAN,,
2026-04-25 00:13:08,WIN11-SEC-022,Microsoft-Windows-Security-Auditing,Security,4624,An account was successfully logged on,CORP,crojas,LAP-GER-003,192.168.1.110,60309,2,C:\\Windows\\System32\\winlogon.exe,0x0,0x0,Successful logon for CORP\crojas from 192.168.1.110 using logon type 2,0,none,Internal,LAN,,
